Time (s),VplgR (V),VplgL (V),Current (V)
3102.21906114,1.66745728643,1.36048275862,-0.000199218691
3102.425632,1.66745728643,1.36052298851,-0.000149187802
3102.61809111,1.66745728643,1.36056321839,-7.68723036e-05
3102.8177681,1.66745728643,1.36060344828,-0.000171584777
3103.01896906,1.66745728643,1.36064367816,-0.000203897168
3103.22635603,1.66745728643,1.36068390805,-9.39629214e-05
3103.42534208,1.66745728643,1.36072413793,-7.70106562e-05
3103.61807799,1.66745728643,1.36076436782,-0.000203986197
3103.82026696,1.66745728643,1.3608045977,-0.00014157529
3104.02009916,1.66745728643,1.36084482759,-8.38909829e-05
3104.21996713,1.66745728643,1.36088505747,-0.000168055226
3104.419245,1.66745728643,1.36092528736,-0.000207709442
3104.62607598,1.66745728643,1.36096551724,-9.36483192e-05
3104.82031512,1.66745728643,1.36100574713,-8.22544545e-05
3105.02635193,1.66745728643,1.36104597701,-0.000187763351
3105.21746898,1.66745728643,1.3610862069,-0.000151035468
3105.41955495,1.66745728643,1.36112643678,-7.40981581e-05
3105.62646604,1.66745728643,1.36116666667,-0.000148606121
3105.82079911,1.66745728643,1.36120689655,-0.000197299081
3106.028929,1.66745728643,1.36124712644,-0.000102378479
3106.22704911,1.66745728643,1.36128735632,-7.05536886e-05
3106.427423,1.66745728643,1.36132758621,-0.000199091648
3106.62132597,1.66745728643,1.36136781609,-0.000160442472
3106.82059097,1.66745728643,1.36140804598,-5.91568151e-05
3107.02716398,1.66745728643,1.36144827586,-0.000132127263
3107.22733212,1.66745728643,1.36148850575,-0.000200069618
3107.42670393,1.66745728643,1.36152873563,-0.000112588287
3107.62159014,1.66745728643,1.36156896552,-7.05196421e-05
3107.82780313,1.66745728643,1.3616091954,-0.00021227122
3108.02791214,1.66745728643,1.36164942529,-0.000192746804
3108.22788501,1.66745728643,1.36168965517,-9.70516691e-05
3108.42856693,1.66745728643,1.36172988506,-0.00013792098
3108.62924814,1.66745728643,1.36177011494,-0.000213519161
3108.82396913,1.66745728643,1.36181034483,-0.000142249367
3109.02514815,1.66745728643,1.36185057471,-8.12679418e-05
3109.22827506,1.66745728643,1.3618908046,-0.000245403985
3109.42830801,1.66745728643,1.36193103448,-0.000281018429
3109.63012099,1.66745728643,1.36197126437,-0.000287111471
3109.82663298,1.66745728643,1.36201149425,-0.000876425978
3110.02519202,1.66745728643,1.36205172414,-0.00165752404
3110.22910404,1.66745728643,1.36209195402,-0.00215740163
3110.42673111,1.66745728643,1.36213218391,-0.00264904389
3110.62820911,1.66745728643,1.36217241379,-0.003070521
3110.82906914,1.66745728643,1.36221264368,-0.00328085317
3111.03310204,1.66745728643,1.36225287356,-0.00332122212
3111.22711015,1.66745728643,1.36229310345,-0.00342322312
3111.43368912,1.66745728643,1.36233333333,-0.00361453904
3111.62973905,1.66745728643,1.36237356322,-0.00362027562
3111.83013415,1.66745728643,1.3624137931,-0.00364600821
3112.03014207,1.66745728643,1.36245402299,-0.00382662612
3112.22737908,1.66745728643,1.36249425287,-0.00388172889
3112.42890716,1.66745728643,1.36253448276,-0.00378399299
3112.62974405,1.66745728643,1.36257471264,-0.00382850362
3112.83070707,1.66745728643,1.36261494253,-0.00394569259
3113.03077006,1.66745728643,1.36265517241,-0.00388831458
3113.22979712,1.66745728643,1.3626954023,-0.00381348035
3113.43038106,1.66745728643,1.36273563218,-0.0039258804
3113.62859297,1.66745728643,1.36277586207,-0.00393692561
3113.82971096,1.66745728643,1.36281609195,-0.00384793756
3114.03620315,1.66745728643,1.36285632184,-0.00377927998
3114.23475003,1.66745728643,1.36289655172,-0.00386882144
3114.4369421,1.66745728643,1.36293678161,-0.00380064148
3114.63567805,1.66745728643,1.36297701149,-0.00371053133
3114.83554101,1.66745728643,1.36301724138,-0.003740517
3115.03584814,1.66745728643,1.36305747126,-0.00375357037
3115.23076415,1.66745728643,1.36309770115,-0.00361038329
3115.43833804,1.66745728643,1.36313793103,-0.00355911072
3115.63516402,1.66745728643,1.36317816092,-0.00361970031
3115.83318806,1.66745728643,1.3632183908,-0.00354897178
3116.03241396,1.66745728643,1.36325862069,-0.00340335066
3116.23779511,1.66745728643,1.36329885057,-0.00339920045
3116.43772411,1.66745728643,1.36333908046,-0.00341033361
3116.63700414,1.66745728643,1.36337931034,-0.00325704849
3116.83548903,1.66745728643,1.36341954023,-0.00315411944
3117.0320971,1.66745728643,1.36345977011,-0.00324397141
3117.237391,1.66745728643,1.3635,-0.00316391853
3117.43744206,1.66745728643,1.36354022989,-0.00299438313
3117.6381011,1.66745728643,1.36358045977,-0.00296042434
3117.84078193,1.66745728643,1.36362068966,-0.00295907751
3118.03819394,1.66745728643,1.36366091954,-0.00279206723
3118.23365307,1.66745728643,1.36370114943,-0.00269708575
3118.43274808,1.66745728643,1.36374137931,-0.00276430494
3118.63777804,1.66745728643,1.3637816092,-0.00267925597
3118.83772016,1.66745728643,1.36382183908,-0.00254256063
3119.03834414,1.66745728643,1.36386206897,-0.00254663722
3119.23463202,1.66745728643,1.36390229885,-0.00260684447
3119.43614793,1.66745728643,1.36394252874,-0.00244325486
3119.64077306,1.66745728643,1.36398275862,-0.00235844108
3119.84116316,1.66745728643,1.36402298851,-0.00240219991
3120.04383206,1.66745728643,1.36406321839,-0.00236018553
3120.239223,1.66745728643,1.36410344828,-0.00222442629
3120.43569112,1.66745728643,1.36414367816,-0.00220156361
3120.63475513,1.66745728643,1.36418390805,-0.00223173611
3120.83645916,1.66745728643,1.36422413793,-0.00213631467
3121.03946996,1.66745728643,1.36426436782,-0.00208072695
3121.24020195,1.66745728643,1.3643045977,-0.00215080968
3121.43962812,1.66745728643,1.36434482759,-0.00215069286
3121.635463,1.66745728643,1.36438505747,-0.00203119281
3121.83910799,1.66745728643,1.36442528736,-0.0019663191
3122.03968096,1.66745728643,1.36446551724,-0.00202614053
3122.23933005,1.66745728643,1.36450574713,-0.00194315806
3122.44344497,1.66745728643,1.36454597701,-0.00187533698
3122.64438295,1.66745728643,1.3645862069,-0.00193607238
3122.84031796,1.66745728643,1.36462643678,-0.00198869033
3123.03860593,1.66745728643,1.36466666667,-0.00189750597
3123.239187,1.66745728643,1.36470689655,-0.0018294231
3123.44740796,1.66745728643,1.36474712644,-0.001952051
3123.64557505,1.66745728643,1.36478735632,-0.00191950533
